,Unnamed: 0,csv_file,eval_id,label,metric,mode_id,opt_group,pc_name,x,y,ylabel
0,0,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c6,d1_psnr,c4-ws,d1,loot_vox10_1200,0.192071130096798,69.5912,D1 PSNR (dB)
1,1,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c6,d1_psnr,c4-ws,d1,loot_vox10_1200,0.26754254704856045,71.7322,D1 PSNR (dB)
2,2,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c6,d1_psnr,c4-ws,d1,loot_vox10_1200,0.44427500822690097,73.4382,D1 PSNR (dB)
3,3,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c6,d1_psnr,c4-ws,d1,loot_vox10_1200,0.5972543881979672,74.2774,D1 PSNR (dB)
4,4,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c6,d1_psnr,c4-ws,d1,loot_vox10_1200,0.8896030597862868,75.1712,D1 PSNR (dB)
5,5,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c5,d1_psnr,c4,d1,loot_vox10_1200,0.2747747691810974,71.1553,D1 PSNR (dB)
6,6,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c5,d1_psnr,c4,d1,loot_vox10_1200,0.3587400733901662,72.6392,D1 PSNR (dB)
7,7,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c5,d1_psnr,c4,d1,loot_vox10_1200,0.5244950545459061,73.9765,D1 PSNR (dB)
8,8,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c5,d1_psnr,c4,d1,loot_vox10_1200,0.8865929453547502,75.1189,D1 PSNR (dB)
9,9,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c4,d1_psnr,c3p-a0.75,d1,loot_vox10_1200,0.2743773943386503,69.7641,D1 PSNR (dB)
10,10,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c4,d1_psnr,c3p-a0.75,d1,loot_vox10_1200,0.3586109265663709,70.9664,D1 PSNR (dB)
11,11,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c4,d1_psnr,c3p-a0.75,d1,loot_vox10_1200,0.5244553170616614,72.0341,D1 PSNR (dB)
12,12,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c4,d1_psnr,c3p-a0.75,d1,loot_vox10_1200,0.8866227484679338,73.1444,D1 PSNR (dB)
13,13,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c3,d1_psnr,c3p,d1,loot_vox10_1200,0.22278820541795766,67.2559,D1 PSNR (dB)
14,14,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c3,d1_psnr,c3p,d1,loot_vox10_1200,0.3344902736298329,68.7426,D1 PSNR (dB)
15,15,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c3,d1_psnr,c3p,d1,loot_vox10_1200,0.4317577006898179,69.783,D1 PSNR (dB)
16,16,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c3,d1_psnr,c3p,d1,loot_vox10_1200,0.7849146575436026,70.9032,D1 PSNR (dB)
17,17,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c2,d1_psnr,c2,d1,loot_vox10_1200,0.11307301141831776,61.5898,D1 PSNR (dB)
18,18,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c2,d1_psnr,c2,d1,loot_vox10_1200,0.17595758023556876,64.4614,D1 PSNR (dB)
19,19,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c2,d1_psnr,c2,d1,loot_vox10_1200,0.39278516301682015,67.8531,D1 PSNR (dB)
20,20,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c2,d1_psnr,c2,d1,loot_vox10_1200,0.5384230427736764,68.8648,D1 PSNR (dB)
21,21,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c2,d1_psnr,c2,d1,loot_vox10_1200,0.8388384236636719,69.6456,D1 PSNR (dB)
22,22,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c1,d1_psnr,c1,d1,loot_vox10_1200,0.08997559870108099,61.216,D1 PSNR (dB)
23,23,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c1,d1_psnr,c1,d1,loot_vox10_1200,0.1601619302482972,64.4633,D1 PSNR (dB)
24,24,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c1,d1_psnr,c1,d1,loot_vox10_1200,0.4478911192931695,67.2546,D1 PSNR (dB)
25,25,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c1,d1_psnr,c1,d1,loot_vox10_1200,0.6959921021750064,68.3402,D1 PSNR (dB)
26,26,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,c1,d1_psnr,c1,d1,loot_vox10_1200,1.0355091675617951,69.1135,D1 PSNR (dB)
27,27,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,G-PCC trisoup,d1_psnr,trisoup-predlift/lossy-geom-lossy-attrs,d1,loot_vox10_1200,0.04833071521262658,60.1819,D1 PSNR (dB)
28,28,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,G-PCC trisoup,d1_psnr,trisoup-predlift/lossy-geom-lossy-attrs,d1,loot_vox10_1200,0.18398455205299988,65.828,D1 PSNR (dB)
29,29,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,G-PCC trisoup,d1_psnr,trisoup-predlift/lossy-geom-lossy-attrs,d1,loot_vox10_1200,0.18398455205299988,65.828,D1 PSNR (dB)
30,30,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,G-PCC trisoup,d1_psnr,trisoup-predlift/lossy-geom-lossy-attrs,d1,loot_vox10_1200,0.18398455205299988,65.828,D1 PSNR (dB)
31,31,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,G-PCC trisoup,d1_psnr,trisoup-predlift/lossy-geom-lossy-attrs,d1,loot_vox10_1200,0.7124632893944379,67.9011,D1 PSNR (dB)
32,32,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,G-PCC octree,d1_psnr,octree-predlift/lossy-geom-lossy-attrs,d1,loot_vox10_1200,0.023365640735888538,52.8044,D1 PSNR (dB)
33,33,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,G-PCC octree,d1_psnr,octree-predlift/lossy-geom-lossy-attrs,d1,loot_vox10_1200,0.07753776613248725,58.4394,D1 PSNR (dB)
34,34,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,G-PCC octree,d1_psnr,octree-predlift/lossy-geom-lossy-attrs,d1,loot_vox10_1200,0.2683969029598217,63.2099,D1 PSNR (dB)
35,35,/home/quachmau/datassd/experiments/pcc_geo_cnn_v2/loot_vox10_1200/results/main/d1_opt_rd_curve_d1_data.csv,main,G-PCC octree,d1_psnr,octree-predlift/lossy-geom-lossy-attrs,d1,loot_vox10_1200,0.6107154609858622,67.9818,D1 PSNR (dB)
